page,superficie,prix,adresse,image_lien
2,150,18 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5377464_uploaded_image1_1750095250.jpg
2,200,10 000 000,,https://images.coinafrique.com/thumb_5406853_uploaded_image1_1751644524.jpg
2,150,3 500 000,,https://images.coinafrique.com/thumb_5406244_uploaded_image1_1751625413.jpg
2,,18 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5403741_uploaded_image1_1751525613.jpg
2,3000,120 000 000,Sénégal,https://images.coinafrique.com/thumb_5403726_uploaded_image1_1751524698.jpg
2,150,20 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5403698_uploaded_image1_1751524243.jpg
2,150,6 500 000,,https://images.coinafrique.com/thumb_5403695_uploaded_image1_1751523608.jpg
2,300,8 000 000,,https://images.coinafrique.com/thumb_5397983_uploaded_image1_1751259831.jpg
2,150,25 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5361170_uploaded_image1_1749083793.jpg
2,300,5 000 000,,https://images.coinafrique.com/thumb_5405818_uploaded_image1_1751595891.jpg
2,,Prix sur demande,,https://images.coinafrique.com/thumb_5405785_uploaded_image1_1751591822.jpg
2,150,80 000 000,Sénégal,https://images.coinafrique.com/thumb_5405782_uploaded_image1_1751591570.jpg
2,225,1 500 000,,https://images.coinafrique.com/thumb_5387360_uploaded_image2_1750637207.jpeg
2,201,12 000 000,Sénégal,https://images.coinafrique.com/thumb_5379507_uploaded_image1_1750195258.jpg
2,547,400 000 000,Sénégal,https://images.coinafrique.com/thumb_5405552_uploaded_image1_1751581101.jpg
2,225,65 000 000,,https://images.coinafrique.com/thumb_5405098_uploaded_image1_1751564982.jpg
2,2,15 000 000,,https://images.coinafrique.com/thumb_5403121_uploaded_image1_1751485668.jpg
2,180,140 000 000,Sénégal,https://images.coinafrique.com/thumb_5403037_uploaded_image1_1751483223.jpg
2,,4 500 000,,https://images.coinafrique.com/thumb_5402874_uploaded_image1_1751475248.jpg
2,300,5 000 000,,https://images.coinafrique.com/thumb_5402471_uploaded_image2_1751462696.jpeg
2,1922,75 000 000,,https://images.coinafrique.com/thumb_5400602_uploaded_image1_1751377819.jpg
2,300,5 000 000,,https://images.coinafrique.com/thumb_5400441_uploaded_image2_1751373771.jpeg
2,,10 000 000,Sénégal,https://images.coinafrique.com/thumb_5400423_uploaded_image1_1751373380.jpg
2,300,130 000 000,Sénégal,https://images.coinafrique.com/thumb_5400188_uploaded_image1_1751368395.jpg
2,180,4 500 000,,https://images.coinafrique.com/thumb_5400134_uploaded_image1_1751366947.jpg
2,260,4 000 000,,https://images.coinafrique.com/thumb_5400072_uploaded_image1_1751364319.jpg
2,534,800 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5399291_uploaded_image1_1751311924.jpg
2,450,4 500 000,,https://images.coinafrique.com/thumb_5398754_uploaded_image1_1751290788.jpg
2,400,138 000 000,,https://images.coinafrique.com/thumb_5357383_uploaded_image1_1748903444.jpg
2,,7 500 000,,https://images.coinafrique.com/thumb_5360434_uploaded_image1_1749051273.jpg
2,150,2 500 000,,https://images.coinafrique.com/thumb_5397382_uploaded_image1_1751209844.jpg
2,1,20 000 000,,https://images.coinafrique.com/thumb_5359420_uploaded_image1_1748995912.jpg
2,150,5 500 000,,https://images.coinafrique.com/thumb_5359174_uploaded_image1_1748984315.jpg
2,200,6 000 000,,https://images.coinafrique.com/thumb_5357372_uploaded_image1_1748903141.jpg
2,,2 800 000,,https://images.coinafrique.com/thumb_5395697_uploaded_image1_1751077697.jpg
2,,3 800 000,,https://images.coinafrique.com/thumb_5395696_uploaded_image1_1751077065.jpg
2,300,12 000 000,,https://images.coinafrique.com/thumb_5395614_uploaded_image1_1751066775.jpg
2,200,100 000 000,Sénégal,https://images.coinafrique.com/thumb_5394683_uploaded_image1_1751024567.jpg
2,150,150 000 000,Sénégal,https://images.coinafrique.com/thumb_5393800_uploaded_image1_1750962951.jpg
2,150,14 000 000,,https://images.coinafrique.com/thumb_5392434_uploaded_image1_1750887906.jpg
2,,Prix sur demande,,https://images.coinafrique.com/thumb_5392224_uploaded_image1_1750877114.jpg
2,448,Prix sur demande,Sénégal,https://images.coinafrique.com/thumb_5391700_uploaded_image1_1750855166.jpg
2,600,7 000 000,Sénégal,https://images.coinafrique.com/thumb_5391679_uploaded_image1_1750854343.jpg
2,,Prix sur demande,,https://images.coinafrique.com/thumb_5390415_uploaded_image1_1750791076.jpg
2,500,189 000 000,Sénégal,https://images.coinafrique.com/thumb_5390217_uploaded_image1_1750784447.jpg
2,150,11 000 000,,https://images.coinafrique.com/thumb_5346243_uploaded_image1_1748267814.jpg
2,500,5 500 000,,https://images.coinafrique.com/thumb_5389222_uploaded_image1_1750730744.jpg
2,500,24 000 000,,https://images.coinafrique.com/thumb_5389221_uploaded_image1_1750729703.jpg
2,300,3 000 000,,https://images.coinafrique.com/thumb_5389132_uploaded_image1_1750720405.jpg
2,178,28 000 000,Sénégal,https://images.coinafrique.com/thumb_5388963_uploaded_image1_1750712157.jpg
2,400,45 000 000,Sénégal,https://images.coinafrique.com/thumb_5388694_uploaded_image1_1750700997.jpg
2,146,55 000 000,Sénégal,https://images.coinafrique.com/thumb_5387402_uploaded_image1_1750644532.jpg
2,22,Prix sur demande,,https://images.coinafrique.com/thumb_5347154_uploaded_image1_1748304118.jpg
